,Unnamed: 0,Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
24,253,Final Fantasy XIV: Heavensward Collector's Edition - PC,-1.0,-1.0,0,3.9,125,76,7,10,16,16,3,3,0,0,0,0,1,5,2,1,0,"See description for details on the Collector's Edition
Dark Knight: Tank - Wields a two-handed greatsword and the power of darkness to deal damage to their foes
Astrologian: Healer - Tap the power of the stars to cast potent healing magicks, while drawing energies from constellation-based divining cards to support your party
Machinist: DPS - Deal damage from afar using a combination of firearms enhanced with various attachments, and mechanical turrets deployed on the battlefield
Notice: This product is not compatible with the Steam version of FINAL FANTASY XIV: A Realm Reborn. If you’ve purchased FFXIV: A Realm Reborn on Steam, then you must also purchase FFXIV: Heavensward on Steam to upgrade your existing account",5,115
25,254,Hidden Object Classic Adventures II - 6 Game Pack,-1.0,-1.0,0,3.6,31,12,5,2,7,2,61,2,0,0,0,0,2,15,1,1,0,0,0,0
26,255,Dungeon Siege - PC,-1.0,-1.0,1,4.3,261,156,60,26,7,7,11,3,0,0,0,0,10,11,1,1,0,0,0,0
27,257,DOOM Eternal: Standard Edition - PC,-1.0,-1.0,1,4.0,51,32,3,5,1,8,12,1,0,0,0,0,4,0,1,1,0,"Developed by id Software, DOOM Eternal is the direct sequel to the award-winning and best-selling DOOM (2016).
Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity.
Experience the ultimate combination of speed and power in DOOM Eternal - the next leap in push-forward, first-person combat.
Discover the Slayer’s origins and his enduring mission to Raze Hell
No disk included; Redeem the game via code inside the box
Game code must be redeemed on the Bethesda client",6,92
28,258,Halo: Combat Evolved - PC,-1.0,-1.0,1,4.6,613,490,49,18,12,36,11,1,0,30,9,2003,3,1,0,1,0,"A group of alien races called the Covenant is wiping out human bases and colonies across the galaxy. You and a few fellow soldiers are all that's left of a devastated colony-world called Halo. Built for combat, trained for war, you'll do the only thing you can -- wage guerilla war on the Covenant and help other humans escape!
Incredible graphics bring the alien world of Halo to life, as you explore it and unravel its many mysteries
Control your Character during massive firefights as you eliminate as many Covenant soldiers as possible
Use your tactics skills to command squads and eliminate the enemy as you engage in guerilla warfare, using whatever weapons you can find
Incredible all-new multiplayer maps for up to 16 people, with brand new armaments you've never seen before",5,133
29,260,Far Cry 2 - PC,-1.0,-1.0,1,4.4,438,297,70,43,13,13,1,1,0,0,0,0,1,1,2,1,0,"First-person shooter for Windows Vista/XP gives players an open-ended gameplaying experience
Roam the beautifully detailed jungles and savannah of Africa
Pick up a wide range of weapons and hop into different vehicles
Dynamic environment, including day-night cycles and fire propagation
Online multiplayer supports up to 16 players",5,47
30,261,Nancy Drew: Secrets Can Kill Remastered,-1.0,-1.0,1,4.4,124,90,13,3,11,3,10,2,0,0,0,0,17,0,1,3,0,"Play the game that started the award-winning Nancy Drew series!
Explore a high school and snoop through confidential files on the suspects
Dust for fingerprints and inspect everything with your magnifying glass.
80th Anniversary REMASTERED FEATURES include new ending, 3D characters, new puzzles, enchanced sleuth kit, and single disc installation.
Choose from two difficulty settings (Jr. or Sr. Detective) to allow players of all skill levels to solve the mystery",5,70
31,263,Mystery P.I. : Stolen in San Francisco,-1.0,-1.0,1,4.6,139,104,23,4,0,6,47,5,0,0,0,0,8,10,1,1,0,"Find over 2,100 hidden objects while exploring 25 stunning city scenes
Enjoy three fun game modes: Find the Stolen Gold, Unlimited Seek & Find and a bonus game
Play 5 unique mini-games: Match-3, Word Search, Circle Rotation, Tile Swap and Jigsaw, plus a unique final puzzle
Locate hidden Keys and Peace Symbols in each scene to unlock 2 bonus games
Go for a Perfect Investigation & speed bonuses to become a Master P.I.",5,73
32,270,Field & Stream Trophy Bass 3-D - PC,-1.0,-1.0,0,3.9,10,4,2,0,2,0,112,1,0,0,0,0,10,4,1,1,0,0,0,0
33,275,Mystery Case Files: Return to Ravenhearst - PC,-1.0,-1.0,1,4.2,127,78,22,7,6,11,2,2,0,0,0,0,1,1,1,1,0,"Most popular hidden object series ever.
Deep, interactive storyline.
Point and click adventure game.",3,14
