Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Learn to Play Chess with Fritz & Chesster: Chess Complete 3-Pack [Download],19.99,0.0,3.3,48,16,7,7,6,10,Viva Media,Board-game-genre, Board_strategy_games,15,April,2013,0,0,0,PC,0,0,0,0
Transformers: War for Cybertron - PC,-1.0,-1.0,3.7,62,36,4,4,4,13,ACTIVISION,Sci_fi_action_games,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,Brand New in box. The product ships with all relevant accessories,1,11
Joint Operations: Combined Arms - PC,15.99,0.0,3.7,30,13,5,5,0,5,Novalogic,Fighting_action_games,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Battle your friends in games with up to 150 players via NovaWorld
90 days of the premium NovaWorld Gold Service – faster, smoother gameplay with anti-cheat measures
Over 40 maps, 20 weapons and 5 different soldier classes from 7 different countries to choose from
Enhanced for widescreen displays and 7.1 surround sound
Joint Ops is a critically acclaimed Best-Seller!",5,59
The Sims 4 Get Together (PC DVD),27.99,0.0,4.6,323,248,41,19,3,9,Electronic Arts,Life-simulation-games,0,0,0,0,0,0,0,0,7.48 x 5.31 x 1.18 inches,"The beautiful world of Widenburg
Explorre scenic neighbourhoods and lively hotspots
Get together for exciting group activities
Join clubs, meet new Sims and live it up!",4,26
Sid Meier's Gettysburg - PC,-1.0,-1.0,3.5,30,14,2,2,4,5,Electronic Arts,Military_and_historical_strategy_games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
Age of Empires III: Complete Collection - PC,99.88,0.0,4.4,791,561,110,55,23,47,Microsoft,Real-time-strategy-game-genre,0,0,0,0,Windows XP,0,CD-ROM,PC,0,"Stunning scenes
Spectacular combat
Industrial Age units like rifled infantry, cavalry and tall ships bristling with cannons
New game-play elements
Online play is not supported anymore. Windows XP, Vista, 7, 8",5,31
Cabela's Big Game Hunter 2009,-1.0,-1.0,3.5,20,7,2,8,0,2,ACTIVISION,Hunting_and_fishing_games,0,0,0,0,Windows Vista, Windows XP,CD-ROM,PC,0,"Hunt in different eras in search of trophies such as white-tailed deer, Yukon moose, Alaskan brown bear and Roosevelt elk
Over ten of North America's top hunting locations, including Kodiak Island, the Yukon, and the Rocky Mountains
Each location in Cabela's Legendary Adventures is a visually stunning open outdoor environment that encourages exploration and tactical variation
Shooting mechanics have been developed to reflect modern as well as historical hunting technology, so you relive the hunts complete with detail from specific time periods
The firearms, tactics and gear in Legendary Adventures are as true to real life as a game will allow",5,101
Diner Dash: Hometown Hero [Old Version],9.9,0.0,3.7,39,21,1,4,5,5,Encore,Life Simulation Strategy Games,0,0,0,0,Windows XP Home Edition, Windows Vista,CD-ROM,Pc,0,"Diner Dash - Hometown Hero has Fun, Addictive Play
50 New Story Mode Levels
500+ clothing & decor items
Play with friends in multiplayerSystem Requirements
Windows 2000, Windows XP, Windows Vista",5,31
SpellForce 2 - Anniversary Edition [Online Game Code],14.99,0.0,3.6,19,10,0,3,0,5,THQ Nordic,Strategy_games,0,13,April,2017,Windows 8.1, Windows XP,0,PC,0,"SpellForce 2 - Anniversary Edition: ""SpellForce 2 – Shadow Wars"" and the add-on ""SpellForce 2 – Dragon Storm""
Re-implemented multiplayer and NAT traversal for a smooth online experience
Many Bugfixes
Full compatibility with modern operating systems",4,36
Shadow Ops: Red Mercury (DVD-ROM),9.95,0.0,2.7,6,0,0,1,2,0,Atari,Shooter-action-game-genre,0,0,0,0,Windows NT, Windows 2000,DVD-ROM,Pc,0,"Exciting mix of all-out assault with stealth and infiltration
Realistic combat feel with Halo-like controls
Full multiplayer experience with game modes like plant the bomb, VIP escort, capture the flag and more
Incredibly realistic motion-captured moves provided by ex-Special Forces operatives",4,41
