Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
For Honor Marching Fire Expansion [Online Game Code],29.99,0.0,4.1,11,5,2,2,0,0,Ubisoft,Action_games,0,16,October,2018,Windows,0,0,PC,0,"Get instant access to a fourth faction of warriors – The Wu Lin, featuring four new heroes from the Far East.
Conquer Ashfeld as The Tiandi, wield the mighty guandao as the Jiang Jun, master the hook swords of the Nuxia, and outplay rivals as the nimble Shaolin.
The new Arcade Mode offers an endless solo or co-op battle experience, with all progression carried over to multiplayer.
With For Honor Marching Fire, all players will have access to Breach, a new strategic 4v4 PvP mode where you'll attack and defend a castle.
With For Honor Marching Fire, all players will get closer to the action than ever before with significant graphical enhancements for the full game.",5,116
NBA 2K21 Mamba Forever - PC [Online Game Code],66.66,33.33,4.1,22,14,3,1,1,2,2K,Sports_games,0,4,September,2020,Windows,0,0,PC,0,"This edition includes 100,000 Virtual Currency, 10,000 MyTEAM points, MyTEAM packs, digital items for your MyPLAYER, and more!",1,18
Cuphead [Online Game Code],19.99,0.0,4.1,273,182,19,21,10,38,StudioMDHR Entertainment Inc.,Action_games,0,29,September,2017,Windows 8, Windows 7,0,PC,0,"Colossal boss battles. Encounter a plethora of massive, multiform bosses in single player or local co-op action.
The all-cartoon Magical Wondergame. Cuphead designers used traditional hand drawn cel animation and watercolor backgrounds coupled with a hot jazz soundtrack to bring players an original gaming experience.
Action-filled adventure. Featuring skill-based, challenging gameplay with multiple difficulties. Mix and match weapons, abilities and super moves!
Run and Gun. Traverse through wondrous action-platforming levels to gather gold while battling relentless foes.",4,77
"Apex Legends - 2,150 Apex Coins [Online Game Code]",19.99,0.0,4.2,728,524,50,36,7,109,Electronic Arts,Action_games,0,11,February,2019,Windows 10,0,0,PC,0,Purchase apex coins to customize your character.,1,7
Battlefield 2042 Gold - Steam PC [Online Game Code],69.99,20.0,2.8,38,12,3,1,3,17,Electronic Arts,Action_games, Shooter_action_games,11,November,2021,Windows 10,0,0,PC,0,"The Battlefield 2042 Gold Edition contains:
Early access to game launch (Playable on 11/12)
Year 1 Pass: 4 new specialists (1 per season), 4 battle passes (1 per season)
3 epic skin bundles (Blistered Earth, Tempest and Cold Blood)",4,39
Jewel Quest The Crown Collection (PC Games),39.95,0.0,3.8,193,100,28,19,9,32,IWin,Arcade Games, Puzzle Games,0,0,0,PC,0,DVD-ROM,PC,0,Brand New in box. The product ships with all relevant accessories,1,11
The Witcher Enhanced Edition JC,9.99,0.0,4.3,50,35,4,3,2,3,Encore,Role Playing Games,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Reinvigorating the role-playing genre with a fresh and modern approach
The Witcher combines unrivalled story and character development in an original, vibrant world with tactically-deep real-time combat
Challenging view of good and evil that will intrigue RPG players of all levels",3,41
Anno 1404 History Edition - PC [Online Game Code],14.99,0.0,3.6,6,3,0,0,0,2,Ubisoft,Strategy_games,0,25,June,2020,Windows 7, Windows 10,0,PC,0,"Expand your empire with the Venice expansion, including co-op and competitive multiplayer, as well as new features, ships, quests, and items
Experience updated and expanded multiplayer functionality
Take advantage of improvements like borderless window mode and multi-screen support
Includes bonus content: Anno 1404 soundtrack, wallpaper, and a company logo for Anno 1800",4,52
Hoyle Official Card Games (for Windows) [Download],19.99,0.0,2.9,509,162,55,61,50,178,Encore Games,Card_games,0,18,November,2015,Windows Vista, Windows 8,0,PC,0,"Over 70 new and classic card games to learn, practice and master!
Put yourself in the game or create silly faces with the new and improved Face Creator
The challenges never stop with a variety of different in-game opponents.
Select from a variety of characters, speed of play, and more!
Dozens of backgrounds and cards to choose from!",5,58
The Sims 4 Cottage Living - PC,24.22,15.77,4.6,138,111,13,5,1,5,Electronic Arts,Life-simulation-game-genre,0,0,0,0,Windows XPMac OS X 10.4 Tiger, Macintosh,DVD-ROM,PC,0,"RAISE OR BEFRIEND ANIMALS - The cottage cow provides fresh (flavored!) milk for everyone while chickens lay eggs in the coop.
LIVE OFF THE LAND - Make cooking and gardening fun for the whole family.
EMBRACE VILLAGE LIFE - Henford-on-Bagley is a cozy village where everyone knows everyone.
GNOME ON THE GO – Purchase before September 2, 2021 to get the “Gnome on the Go” bonus items.",4,67
